Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Tuvalu,,6.3,,,1,,,270,,,,,,,22.1
Uganda,7.1,,51.9,53.6,0.1,17,3,200,5.7,40,60,1.1,2.8,72,2.5
Ukraine,92,68.5,20.6,,5,47,14,80,1,63,37,0.1,0.1,52,6.1
United Arab Emirates,,96.3,40.5,,22.9,37,1,1,,,,,,,16.3
United Kingdom,100,97.8,10.5,,6.5,25,20,8,0.2,71,29,,,90,3.9
United States,99,90,7.4,,16.5,25,19,3,0.4,,,,,,10.8
Uruguay,,,9.2,,2,20,14,33,0.6,71,29,0.2,0.1,58,7.3
Uzbekistan,58.9,,27.8,,3.4,25,1,70,0.2,66,34,0.1,0.1,51,6.5
Vanuatu,44.1,,11.6,,0.6,35,3,46,,,,,,,11.9
"Venezuela, RB",,23.8,16.8,,6.2,,,48,,66,34,,,,7
Vietnam,,,30.2,27.2,1.8,46,1,182,0.3,67,33,0.1,0.1,65,6
Virgin Islands (U.S.),,,10.3,,,,,,,,,,,,12.3
West Bank and Gaza,,61.2,32.7,,0.6,,,1,,,,,,,9.5
"Yemen, Rep.",,,50.1,60.8,0.9,29,8,48,0.1,78,22,0.1,0.1,21,5.4
Zambia,,,27.4,54,0.3,25,3,346,11.3,41,59,2.4,5,78,4.5
Zimbabwe,,,21.7,25.1,0.9,31,2,210,12.7,40,60,3.2,5.7,88,1.8
